Mean,MeanFiltered,Variance,VarianceFiltered,xVariance,yVariance,zVariance,xZeroCrossings,yZeroCrossings,zZeroCrossings,Peaks,PeaksFiltered,ResultantZeroCrossings,ResultantFilteredZeroCrossings,xDCComponent,yDCComponent,zDCComponent,xSpectralEnergy,ySpectralEnergy,zSpectralEnergy,TotalSpectralEnergy,xEntropy,yEntropy,zEntropy,TotalEntropy,xFFTZeroCrossings,yFFTZeroCrossings,zFFTZeroCrossings,Activity
9.489,9.455,0.679,0.195,0.076,0.084,0.007,17,21,8,1,14,39,26,0.48,0.91,0.88,15.708,486.968,575.804,1078.48,77.07,4881.739,5714.566,10673.375,44,35,41,Driving
9.503,9.543,0.407,0.106,0.033,0.049,0.004,16,21,12,2,6,39,21,0.251,0.219,1.17,8.055,276.878,426.595,711.528,35.772,2512.794,4106.459,6655.025,45,41,37,Driving
9.464,9.486,0.88,0.205,0.059,0.061,0.004,17,22,16,3,4,44,21,0.73,0.51,0.86,19.453,438.935,531.187,989.575,0,4267.337,5380.009,9647.346,44,43,42,Driving
9.436,9.425,0.946,0.211,0.067,0.077,0.007,20,20,14,3,21,46,25,0.089,0.69,0.27,21.732,701.781,734.646,1458.159,111.097,7712.151,7944.095,15767.343,36,43,45,Driving
9.453,9.454,0.518,0.111,0.032,0.071,0.007,21,21,19,2,4,45,25,1.04,0.98,0.279,9.92,398.22,457.6,865.74,39.199,3848.715,4548.442,8436.356,35,43,37,Driving
9.45,9.526,0.817,0.194,0.053,0.09,0.005,15,20,22,1,6,41,21,0.451,0.071,0.44,14.913,442.434,790.799,1248.146,69.333,4316.767,8239.328,12625.428,47,48,37,Driving
9.43,9.519,0.792,0.195,0.061,0.087,0.005,20,21,16,1,11,42,29,0.071,0,0.21,15.298,599.193,724.631,1339.122,72.514,6400.001,7883.941,14356.456,39,42,40,Driving
9.451,9.44,0.598,0.192,0.059,0.097,0.005,24,22,14,4,2,44,31,0.045,0.219,0.4,11.571,444.777,620.087,1076.435,48.781,4264.424,6143.765,10456.97,48,44,32,Driving
9.46,9.484,1.139,0.525,0.174,0.204,0.005,20,24,17,2,2,42,31,0.81,1.24,0.54,25.287,881.848,1038.424,1945.559,137.35,9390.938,11104.267,20632.555,49,43,37,Driving
9.445,9.432,1.163,0.481,0.167,0.18,0.004,16,16,10,2,2,39,20,0.88,0.341,0.341,26.493,845.308,986.412,1858.213,145.045,9204.957,11140,20490.002,43,39,41,Driving
