Mean,MeanFiltered,Variance,VarianceFiltered,xVariance,yVariance,zVariance,xZeroCrossings,yZeroCrossings,zZeroCrossings,Peaks,PeaksFiltered,ResultantZeroCrossings,ResultantFilteredZeroCrossings,xDCComponent,yDCComponent,zDCComponent,xSpectralEnergy,ySpectralEnergy,zSpectralEnergy,TotalSpectralEnergy,xEntropy,yEntropy,zEntropy,TotalEntropy,xFFTZeroCrossings,yFFTZeroCrossings,zFFTZeroCrossings,Activity
10.886,10.851,14.353,13.845,7.268,1.415,0.794,6,9,9,4,4,16,18,28.49,16.36,6.18,511.547,9687.278,2946.591,13145.416,5695.376,139248.807,38016.344,182960.527,46,30,31,Walking
11.585,11.582,14.651,14.319,6.471,1.34,0.542,4,8,8,4,4,15,13,7.36,15.35,1.55,456.83,15453.862,3130.775,19041.467,5333.497,229514.857,40962.013,275810.367,47,29,30,Walking
11.161,11.146,6.155,6.085,1.689,0.513,1.003,4,7,7,4,4,13,11,7.08,1.9,2.68,114.96,4618.461,790.668,5524.089,1041.275,59477.183,8537.888,69056.346,32,23,30,Walking
10.729,10.722,5.436,5.389,1.362,0.67,0.93,6,6,5,5,5,9,9,6.95,3.49,1.12,92.485,2448.815,2208.39,4749.69,829.238,29075.541,25932.155,55836.934,30,31,29,Walking
11.143,11.129,5.108,5.021,2.683,0.838,0.236,6,6,4,1,1,9,7,14.64,4.66,3.43,186.45,3873.478,1208.743,5268.671,1721.652,49827.224,13408.801,64957.677,45,30,26,Walking
11.175,11.142,4.12,3.831,2.456,1.079,0.264,6,7,6,1,6,13,13,1.06,3.7,2.36,175.199,7169.031,3069.2,10413.43,1604.64,97438.524,38282.076,137325.24,43,27,26,Walking
11.842,11.836,5.933,5.816,2.432,1.898,0.187,9,6,9,1,4,19,17,6.77,0.79,11.25,168.604,6561.764,3530.765,10261.133,1551.321,88858.104,45312.601,135722.026,43,31,26,Walking
11.64,11.627,4.914,4.782,2.629,1.396,0.376,9,6,6,1,4,18,20,4.35,15.41,9.45,182.353,3598.677,3380.235,7161.265,1725.888,46886.879,44067.409,92680.176,43,30,24,Walking
10.619,10.566,11.469,10.426,7.602,0.775,1.148,8,8,6,1,2,19,21,24.59,10.57,12.64,560.76,14612.077,1635.386,16808.223,6251.038,227095.409,19096.753,252443.2,37,30,30,Walking
10.848,10.779,13.254,12.065,7.613,1.31,1.249,7,9,10,1,2,21,23,9.91,8.95,13.97,562.016,23767.144,1406.529,25735.689,6330.084,377519.59,16007.973,399857.647,39,26,37,Walking
10.224,10.143,5.44,4.673,2.216,1.423,0.692,11,6,12,1,2,22,25,4.22,13.73,24.91,179.233,7222.271,2227.675,9629.179,1571.554,102322.796,26221.354,130115.704,43,34,30,Walking
9.722,9.687,4.583,3.744,1.714,1.085,0.666,10,5,6,3,2,22,20,37.72,36.04,21.21,146.645,4267.317,2188.916,6602.878,1242.1,56077.48,26130.462,83450.042,39,42,34,Walking
10.056,10.037,6.224,5.661,0.928,1.134,0.661,7,6,8,1,3,17,17,10.28,5.43,11.45,64.695,2934.904,1372.087,4371.686,499.546,38347.986,15213.546,54061.078,32,39,28,Walking
10.263,10.207,9.875,9.125,0.722,0.88,1.109,11,8,10,1,5,18,19,3.06,4.41,7.03,57.112,2481.817,3085.296,5624.225,419.555,29903.972,40158.997,70482.524,32,33,29,Walking
9.279,9.24,12.477,11.875,0.803,0.897,1.738,11,6,9,1,1,18,18,6.61,15.32,7.24,65.65,2831.131,2979.3,5876.081,506.85,35861.943,35578.217,71947.01,32,32,35,Walking
9.576,9.566,12.426,12.227,0.493,0.944,1.43,5,4,8,2,3,17,19,15.38,0.19,1.18,37.378,1094.557,1103.275,2235.21,261.81,11892.543,11955.527,24109.88,40,39,35,Walking
10.986,10.98,8.655,8.463,0.6,1.174,1.155,4,5,7,1,1,13,15,9.21,2.44,1.21,42.306,2098.904,3595.527,5736.737,323.136,24863.909,45132.871,70319.916,28,21,29,Walking
10.866,10.827,5.925,5.612,1.428,1.235,1.256,9,6,6,2,4,20,18,0.63,4.75,1.74,96.599,3769.358,3232.906,7098.863,784.138,48198.358,41428.056,90410.552,28,29,28,Walking
